url,title,price,bike_year,mileage,localisation,brand,model,engine_size
https://www.leboncoin.fr/motos/1999236839.htm?ac=4051296304, versys 650 abs bridable a2,3490.0,2008,40089,Paris 75010,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1998870447.htm?ac=4051296304, versys 650,3600.0,2008,34500,Orange 84100,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/1997416887.htm?ac=4051296304, versys 650 a2,3400.0,2008,52000,Montady 34310,kawasaki,versys,649.0
https://www.leboncoin.fr/motos/2000112909.htm?ac=4051296304, zrx 1200 année ,2699.0,2002,45400,Asnières-sur-Seine 92600,kawasaki,zrx1200s,1164.0
https://www.leboncoin.fr/motos/1998543451.htm?ac=4051296304, zrx 1200s avec 25000s et s,3500.0,2002,25000,Créon 33670,kawasaki,zrx1200s,1164.0
https://www.leboncoin.fr/motos/2000112408.htm?ac=4051296304, kx 125,1400.0,1990,1,Carcassonne 11000,kawasaki,kx125,124.0
https://www.leboncoin.fr/motos/1999722268.htm?ac=4051296304, kx 125,2600.0,1990,1,Allauch 13190,kawasaki,kx125,124.0
https://www.leboncoin.fr/motos/2000111029.htm?ac=4051296304, er6n a2,4000.0,2012,14650,Le Havre 76600,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/2000355340.htm?ac=4051296304, er6n 1ère éligible a2 650 ,3850.0,2012,22,Paris 75012,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1999914847.htm?ac=4051296304, er6n abs a2,4500.0,2012,30000,Tarbes 65000,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1999799581.htm?ac=4051296304, er6n a2 de ,4450.0,2012,34500,La Ferté-sous-Jouarre 77260,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1980589618.htm?ac=4051296304, er6n année ,2600.0,2012,42000,Paris 75018,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1999614605.htm?ac=4051296304, er6n a2,4200.0,2012,24000,Bousse 57310,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1950612723.htm?ac=4051296304, er6n,3490.0,2012,59000,Agde 34300,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1998694635.htm?ac=4051296304, er6n 25 000 ,4000.0,2012,25000,Mâcon 71000,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1998244529.htm?ac=4051296304, er6n,4100.0,2012,12000,Bordeaux 33000,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1997957648.htm?ac=4051296304, er6n dorigine,4500.0,2012,16000,Muron 17430,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1997510690.htm?ac=4051296304, er6n 32 439s malemort 3900,3900.0,2012,32439,Malemort 19360 Malemort-sur-Corrèze,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1997115215.htm?ac=4051296304, er6n,4500.0,2012,19500,Carbonne 31390,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1996013163.htm?ac=4051296304, er6n abs ,4200.0,2012,13500,Bourg-en-Bresse 01000,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1995936951.htm?ac=4051296304, er6n er6n er6n er6,4100.0,2012,31773,Saint-Just-en-Chaussée 60130,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1995929511.htm?ac=4051296304, er6n er6n er6n er6n er6,4200.0,2012,23011,Saint-Just-en-Chaussée 60130,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/2000108032.htm?ac=4051296304, er6n a2 ,3500.0,2010,36800,Nantes 44000,kawasaki,er6n,649.0
https://www.leboncoin.fr/motos/1999865321.htm?ac=4051296304,er6n ,2850.0,2010,57000,Chambéry 73000,kawasaki,er6n,649.0
