bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
Bleu,Routière,1999,Honda,,1100,,,120000,ST PAN-EUROPEAN,1890,1871854,2021-06-22 11:25:53.568987,motovente,motovente-1871854,http://motovente.com/moto-occasion/annonce-moto-honda-1871854.html,ST PAN-EUROPEAN,non,14-10-1999
Vert,Scooter,2003,Suzuki,,650,,,40792,BURGMAN,2999,1865795,2021-06-22 11:25:53.597991,motovente,motovente-1865795,http://motovente.com/scooter-occasion/annonce-scooter-suzuki-1865795.html,BURGMAN 650,non,27-11-2003
Blanc,Scooter,2020,Piaggio,,125,Oui,,190,MEDLEY 125,2899,1873976,2021-06-22 11:25:53.628425,motovente,motovente-1873976,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1873976.html,MEDLEY 125,non,17-12-2020
Gris,Routière,2017,Honda,,1300,,,15400,ST PAN-EUROPEAN,12000,1833856,2021-06-22 11:25:53.658911,motovente,motovente-1833856,http://motovente.com/moto-occasion/annonce-moto-honda-1833856.html,ST PAN-EUROPEAN,non,14-04-2017
Argent,Scooter,2016,Suzuki,,400,Oui,,30727,BURGMAN,2990,1870675,2021-06-22 11:25:53.688797,motovente,motovente-1870675,http://motovente.com/scooter-occasion/annonce-scooter-suzuki-1870675.html,BURGMAN 400,non,16-06-2016
Noir,Routière,2019,BMW,,1600,Oui,,3500,K 1600 GT,21990,1866896,2021-06-22 11:25:53.717294,motovente,motovente-1866896,http://motovente.com/moto-occasion/annonce-moto-bmw-1866896.html,K 1600 GT,non,30-08-2019
Bleu,Roadster,2013,Honda,,600,,,27500,HORNET 600,4800,1858070,2021-06-22 11:25:53.746902,motovente,motovente-1858070,http://motovente.com/moto-occasion/annonce-moto-honda-1858070.html,HORNET 600,non,15-02-2013
Violet,Routière,1997,BMW,,1200,,,93879,K 1200 R SPORT,2495,1864512,2021-06-22 11:25:53.773074,motovente,motovente-1864512,http://motovente.com/moto-occasion/annonce-moto-bmw-1864512.html,K 1200 R SPORT,non,23-07-1997
Argent,Sportive,2007,Kawasaki,,1400,,,49850,ZZR 1400,7590,1871145,2021-06-22 11:25:53.801430,motovente,motovente-1871145,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1871145.html,ZZR 1400,non,04-04-2007
Noir,Roadster,2019,Ducati,,803,Oui,,1500,FULL THROTTLE,9499,1837611,2021-06-22 11:25:53.828412,motovente,motovente-1837611,http://motovente.com/moto-occasion/annonce-moto-ducati-1837611.html,FULL THROTTLE,non,20-11-2018
Gris,Trail,2013,KTM,,1190,,,57800,1190 ADVENTURE ABS,8490,1871515,2021-06-22 11:25:53.854994,motovente,motovente-1871515,http://motovente.com/moto-occasion/annonce-moto-ktm-1871515.html,1190 ADVENTURE ABS,non,22-03-2013
Blanc,Trail,2016,BMW,,800,,,8617,F 800 R,6990,1870225,2021-06-22 11:25:53.881933,motovente,motovente-1870225,http://motovente.com/moto-occasion/annonce-moto-bmw-1870225.html,F 800 R,non,12-10-2016
Jaune,Roadster,2019,Ducati,,800,Oui,,3600,SCRAMBLER,11390,1873891,2021-06-22 11:25:53.908901,motovente,motovente-1873891,http://motovente.com/moto-occasion/annonce-moto-ducati-1873891.html,SCRAMBLER,non,29-03-2019
Argent,Scooter,2018,Yamaha,,300,,,28900,XMAX 300 ABS,3900,1851633,2021-06-22 11:25:53.934606,motovente,motovente-1851633,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1851633.html,XMAX 300 ABS,non,08-11-2018
Jaune,Routière,2007,BMW,,800,,,41000,F 800 S,4290,1872369,2021-06-22 11:25:53.961312,motovente,motovente-1872369,http://motovente.com/moto-occasion/annonce-moto-bmw-1872369.html,F 800 S,non,09-01-2007
Rouge,Super Motard,2021,Beta,,125,Oui,,1600,SUPERMOTARD,4990,1873459,2021-06-22 11:25:53.988074,motovente,motovente-1873459,http://motovente.com/moto-occasion/annonce-moto-beta-1873459.html,SUPERMOTARD,non,30-10-2020
Bleu,Routière,2017,Yamaha,,900,Oui,,19400,TRACER 900,8190,1873918,2021-06-22 11:25:54.015964,motovente,motovente-1873918,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873918.html,TRACER 900,non,18-05-2017
Bleu,Sportive,2019,Suzuki,,250,Oui,,2550,GSX 250 R ABS,4095,1871328,2021-06-22 11:25:54.042911,motovente,motovente-1871328,http://motovente.com/moto-occasion/annonce-moto-suzuki-1871328.html,GSX 250 R ABS,non,28-06-2019
Argent,Custom,2004,Suzuki,,800,,,52000,VL LC 800,3800,1871778,2021-06-22 11:25:54.071354,motovente,motovente-1871778,http://motovente.com/moto-occasion/annonce-moto-suzuki-1871778.html,VL LC 800,non,04-04-2004
Argent,Sportive,2002,Yamaha,,1000,,,80220,YZF 1000,1300,1847675,2021-06-22 11:25:54.097782,motovente,motovente-1847675,http://motovente.com/moto-occasion/annonce-moto-yamaha-1847675.html,YZF 1000,non,02-01-2002
Blanc,Sportive,2010,Aprilia,,1000,,,29550,RSV4 1000 R,7790,1852795,2021-06-22 11:25:54.124967,motovente,motovente-1852795,http://motovente.com/moto-occasion/annonce-moto-aprilia-1852795.html,RSV4 1000 R,non,01-04-2010
