source,step,status,time,details
moto-occasion,scrap annonces,started,2021-06-20 16:12:08.320669,
moto-occasion,scrap annonces,completed,2021-06-20 16:12:23.937752,"0.25 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 16:12:23.942838,
moto-occasion,to dataframe,completed,2021-06-20 16:12:23.956454,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 16:12:24.065468,
moto-selection,scrap pages,completed,2021-06-20 16:15:24.415433,"3.0 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 16:15:24.464522,
moto-selection,scrap annonces,completed,2021-06-20 16:18:16.267823,"2.85 minutes elapsed, 52 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 16:18:16.274072,
moto-occasion,scrap pages,started,2021-06-20 16:20:48.004027,
moto-occasion,scrap pages,completed,2021-06-20 16:21:59.307435,"1.1833333333333333 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 16:21:59.345036,
moto-occasion,scrap annonces,completed,2021-06-20 16:22:15.111409,"0.25 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 16:22:15.116581,
moto-occasion,to dataframe,completed,2021-06-20 16:22:15.128246,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 16:22:15.242585,
moto-selection,scrap pages,completed,2021-06-20 16:25:13.971336,"2.966666666666667 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 16:25:14.029126,
moto-selection,scrap annonces,completed,2021-06-20 16:28:07.072088,"2.8833333333333333 minutes elapsed, 52 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 16:28:07.079086,
moto-selection,scrap pages,completed,2021-06-20 16:28:12.278665,"0.08333333333333333 minutes elapsed, 105 pages scrapped"
motomag,scrap pages,started,2021-06-20 16:30:32.426627,
motomag,scrap pages,started,2021-06-20 16:31:26.895974,
motomag,scrap pages,completed,2021-06-20 16:34:35.017957,"3.1333333333333333 minutes elapsed, 127 pages scrapped"
motomag,scrap pages,started,2021-06-20 16:56:47.625303,
motomag,scrap pages,completed,2021-06-20 16:57:56.512359,"1.1333333333333333 minutes elapsed, 127 pages scrapped"
motomag,scrap pages,started,2021-06-20 17:08:06.605038,
moto-occasion,scrap pages,started,2021-06-20 18:07:23.665852,
moto-occasion,scrap pages,completed,2021-06-20 18:08:35.311756,"1.1833333333333333 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 18:08:35.351410,
moto-occasion,scrap annonces,completed,2021-06-20 18:08:50.832578,"0.25 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 18:08:50.837778,
moto-occasion,to dataframe,completed,2021-06-20 18:08:50.849575,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 18:08:50.962523,
moto-selection,scrap pages,completed,2021-06-20 18:11:46.283854,"2.9166666666666665 minutes elapsed, 244 pages scrapped"
moto-occasion,scrap pages,started,2021-06-20 18:15:41.543436,
moto-occasion,scrap pages,completed,2021-06-20 18:16:53.584171,"1.2 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 18:16:53.621044,
moto-occasion,scrap annonces,completed,2021-06-20 18:17:08.440128,"0.23333333333333334 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 18:17:08.444613,
moto-occasion,to dataframe,completed,2021-06-20 18:17:08.455433,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 18:17:08.554736,
moto-selection,scrap pages,completed,2021-06-20 18:20:06.630495,"2.966666666666667 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 18:20:06.686842,
moto-selection,scrap annonces,completed,2021-06-20 18:25:59.401792,"5.866666666666666 minutes elapsed, 104 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 18:25:59.408409,
moto-selection,scrap pages,completed,2021-06-20 18:26:03.017545,"0.05 minutes elapsed, 53 pages scrapped"
motomag,scrap pages,started,2021-06-20 18:26:03.296173,
motomag,scrap pages,completed,2021-06-20 18:29:28.434882,"3.4166666666666665 minutes elapsed, 127 pages scrapped"
moto-occasion,scrap pages,started,2021-06-20 18:54:43.278422,
moto-occasion,scrap pages,completed,2021-06-20 18:55:56.760430,"1.2166666666666666 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 18:55:56.798894,
moto-occasion,scrap annonces,completed,2021-06-20 18:56:12.313841,"0.25 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 18:56:12.319590,
moto-occasion,to dataframe,completed,2021-06-20 18:56:12.335185,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 18:56:12.454614,
moto-selection,scrap pages,completed,2021-06-20 18:59:05.127264,"2.8666666666666667 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 18:59:05.173132,
moto-selection,scrap annonces,completed,2021-06-20 19:01:58.794496,"2.8833333333333333 minutes elapsed, 52 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 19:01:58.800261,
moto-selection,scrap pages,completed,2021-06-20 19:02:01.507267,"0.03333333333333333 minutes elapsed, 53 pages scrapped"
motomag,scrap pages,started,2021-06-20 19:02:01.666534,
motomag,scrap pages,completed,2021-06-20 19:03:18.377739,"1.2666666666666666 minutes elapsed, 127 pages scrapped"
paruvendu,scrap annonces,started,2021-06-20 19:03:18.383588,
paruvendu,,error,2021-06-20 19:03:18.388177,name 'paruvendu_page_url' is not defined
paruvendu,scrap annonces,started,2021-06-20 19:03:18.392952,
paruvendu,scrap annonces,started,2021-06-20 19:27:01.244135,
paruvendu,,error,2021-06-20 19:27:01.250968,name 'paruvendu_page_url' is not defined
paruvendu,scrap annonces,started,2021-06-20 19:27:01.256694,
paruvendu,scrap annonces,started,2021-06-20 19:27:19.113895,
paruvendu,,error,2021-06-20 19:27:19.120802,name 'paruvendu_page_url' is not defined
paruvendu,scrap annonces,started,2021-06-20 19:27:19.126442,
moto-occasion,scrap pages,started,2021-06-20 19:43:12.515846,
moto-occasion,scrap pages,completed,2021-06-20 19:44:26.589157,"1.2333333333333334 minutes elapsed, 147 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-20 19:44:26.628755,
moto-occasion,scrap annonces,completed,2021-06-20 19:44:44.203480,"0.2833333333333333 minutes elapsed, 0 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-20 19:44:44.211464,
moto-occasion,to dataframe,completed,2021-06-20 19:44:44.229972,0.0 minutes elapsed
moto-selection,scrap pages,started,2021-06-20 19:44:44.374860,
moto-selection,scrap pages,completed,2021-06-20 19:47:41.547906,"2.95 minutes elapsed, 244 pages scrapped"
moto-selection,scrap annonces,started,2021-06-20 19:47:41.554631,
moto-selection,scrap annonces,completed,2021-06-20 19:57:34.248630,"9.866666666666667 minutes elapsed, 52 annonces scrapped"
moto-selection,to dataframe,started,2021-06-20 19:57:34.254501,
moto-selection,scrap pages,completed,2021-06-20 19:57:36.576362,"0.03333333333333333 minutes elapsed, 53 pages scrapped"
motomag,scrap pages,started,2021-06-20 19:57:36.715138,
motomag,scrap pages,started,2021-06-20 20:19:39.261562,
motomag,scrap pages,completed,2021-06-20 20:21:29.854043,"1.8333333333333333 minutes elapsed, 127 pages scrapped"
